CNPJ Numeros;Tipo CNPJ;Razao Social ;Fantasia;Apelido;Cidade;Estado
4378984000108;Matriz;L. A. MARTINS MERCADO DE BEBIDAS LTDA;LA MARTINS;LA UM;UMUARAMA;PR
4378984000280;Filial;L. A. MARTINS MERCADO DE BEBIDAS LTDA;LA MARTINS;LA UB;UBIRATA;PR
4378984000361;Filial;L. A. MARTINS MERCADO DE BEBIDAS LTDA;LA MARTINS;LA BRA;BRASIL;PR
6187813000119;Matriz;RAF. DISTRIBUIDORA DE BEBIDAS LTDA;RAF;RAF;SANTA HELENA;PR
84116789000130;Matriz;GERMANO FOPPA E CIA LTDA;GF BEBIDAS;GF IB;IBICARE;SC
84116789000726;Filial;GERMANO FOPPA E CIA LTDA;GF BEBIDAS;GF CN;CAMPOS NOVOS;SC
82939307000540;Matriz;IRMAOS CANCELLI LTDA;CANCELLI;CAN;JOACABA;SC
13719150000100;Matriz;MEGA DISTRIBUIDORA E LOGISTICA LTDA;MEGA;MEGA;LAGES;SC
95755781000130;Matriz;DISTRIBUIDORA DE BEBIDAS CACADOR EIRELI;CACADOR;CAC;CACADOR;SC
42808535000133;Matriz;TERCOBEL-TEJO REY COMERCIO DE BEBIDAS LTDA;SAO JOAO DEL REI;SJDR;SAO JOAO DEL REI;MG
85284248000184;Matriz;M.M. DISTRIBUIDORA DE BEBIDAS LTDA;MM;MM MH;MARAVILHA;SC
85284248000265;Filial;M.M. DISTRIBUIDORA DE BEBIDAS LTDA;MM;MM SMO;SAO MIGUEL DO OESTE;SC
2939968000103;Matriz;MIX DISTRIBUIDORA LTDA.;MIX PASSA TEMPO;PASS;PASSA TEMPO;MG
20037390000181;Matriz;MIX NORTE DISTRIBUIDORA LTDA;MIX JANAUBA;JAN;JANAUBA;MG
7623696000151;Matriz;COMERCIO DE BEBIDAS VALE DO MANHUACU LTDA;MANHUACU;MAN;MANHUACU;MG
32432668000285;Matriz;AGUIAR DISTRIBUIDORA DE BEBIDAS E COMERCIO LTDA;ESPERA FELIZ;ESPERA;ESPERA FELIZ;MG
21688593000109;Matriz;DISTRIBUIDORA DE BEBIDAS MARCELAO LTDA;VISCONDE RIO BRANCO;VISC;VISCONDE RIO BRANCO;MG
81045353000100;Matriz;O FRASSON & CIA LTDA;FRASSON;OFRA PLT;PALOTINA;PR
81045353000290;Filial;O FRASSON & CIA LTDA;FRASSON;OFRA CVL;CASCAVEL;PR
19791779000139;Matriz;DOIS AMIGOS COMERCIO DE BEBIDAS LTDA;TERESOPOLIS;TERES;TERESOPOLIS;RJ
24864406000180;Matriz;C.O.M. BEBIDAS LTDA;CIBRAMAR;CIBRA;CAPITAO LEONIDAS MARQUES;PR
16674551000170;Matriz;MINAS DISTRIBUIDORA DE BEBIDAS LTDA;ALFENAS;ALF;ALFENAS;MG
