Subcanal;Código;Tipo Subcanal;Foco Refpet;Foco Dual;Subcanal INE;Canal;Código Canal
SUPERMERCADO 1-4 Cks;201;REGULAR;SIM;SIM;SIM;HIPER & SUPER;51
SUPERMERCADO 5 -19 Cks;202;REGULAR;SIM;SIM;SIM;HIPER & SUPER;51
SUPERMERCADO 20 - 49  Cks;203;REGULAR;SIM;SIM;SIM;HIPER & SUPER;51
HIPERMERCADO;204;REGULAR;SIM;SIM;SIM;HIPER & SUPER;51
HARD DISCOUNT;205;REGULAR;SIM;SIM;NAO;HIPER & SUPER;51
COMPRA CENTRALIZADA;206;REGULAR;SIM;SIM;NAO;HIPER & SUPER;51
DISTRIBUIDOR DE AREA;207;BALCAO;NAO;NAO;NAO;INDIRETOS;52
ADEGA;208;REGULAR;NAO;NAO;NAO;INDIRETOS;52
DISTRIBUIDOR DE MULTIMARCAS;209;REGULAR;NAO;NAO;NAO;INDIRETOS;52
ATACADISTA;210;REGULAR;NAO;NAO;SIM;INDIRETOS;52
COMIDA DELIVERY;211;REGULAR;NAO;NAO;NAO;DIFERENCIADOS;53
DEPOSITO DE AGUA/GAS;212;REGULAR;NAO;NAO;NAO;DIFERENCIADOS;53
CIA DE TRANSPORTE;213;BALCAO;NAO;NAO;NAO;DIFERENCIADOS;53
EVENTOS;214;BALCAO;NAO;NAO;NAO;DIFERENCIADOS;53
BUFFET INFANTIL;215;REGULAR;NAO;NAO;NAO;DIFERENCIADOS;53
BUFFET / SERVIÇO DE BUFFET;216;REGULAR;NAO;NAO;NAO;DIFERENCIADOS;53
HOTEL;217;REGULAR;NAO;NAO;NAO;DIFERENCIADOS;53
MOTEL;218;REGULAR;NAO;NAO;NAO;DIFERENCIADOS;53
HOSPITAL;219;REGULAR;NAO;NAO;NAO;DIFERENCIADOS;53
EMPRESA/CONSULTORIO;220;REGULAR;NAO;NAO;NAO;DIFERENCIADOS;53
COZINHAS INDUSTRIAIS;221;REGULAR;NAO;NAO;NAO;DIFERENCIADOS;53
OPERADOR DE FRIGOBAR;222;REGULAR;NAO;NAO;NAO;DIFERENCIADOS;53
MERCEARIA;223;REGULAR;SIM;NAO;SIM;TRADICIONAL;54
PADARIA;224;REGULAR;SIM;NAO;SIM;TRADICIONAL;54
PADARIA MULTIOCASIAO;225;REGULAR;SIM;NAO;NAO;TRADICIONAL;54
DOCERIA;226;REGULAR;NAO;NAO;NAO;TRADICIONAL;54
ACOUGUE;227;REGULAR;NAO;NAO;NAO;TRADICIONAL;54
BAR MERCEARIA;228;REGULAR;SIM;NAO;SIM;TRADICIONAL;54
SACOLAO;229;REGULAR;SIM;NAO;NAO;TRADICIONAL;54
DROGARIA;230;REGULAR;NAO;NAO;NAO;C-STORE;55
LOJA DE CONVENIENCIA;231;REGULAR;NAO;NAO;SIM;C-STORE;55
LOJA DE DEPARTAMENTO;232;REGULAR;NAO;NAO;NAO;C-STORE;55
RESTAURANTE;233;REGULAR;NAO;NAO;SIM;MERCADO FRIO;56
RESTAURANTE PREMIUM;234;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
BAR NOTURNO / CHOPPERIA PREMIU;235;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
CHURRASCARIA;236;REGULAR;NAO;NAO;SIM;MERCADO FRIO;56
PIZZARIA;237;REGULAR;NAO;NAO;SIM;MERCADO FRIO;56
BAR BOTECO;238;REGULAR;NAO;NAO;SIM;MERCADO FRIO;56
BAR RESTAURANTE;239;REGULAR;NAO;NAO;SIM;MERCADO FRIO;56
BAR LANCHONETE;240;REGULAR;NAO;NAO;SIM;MERCADO FRIO;56
BAR NOTURNO/CHOPPERIA;241;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
LANCHONETE;242;REGULAR;NAO;NAO;SIM;MERCADO FRIO;56
SORVETERIA;243;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
DELICATESSEN;244;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
CAFETERIA;245;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
QUIOSQUE;246;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
DANCETERIA/BOITE;247;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
CASA DE SHOW;248;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
JOGO;249;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
TRAILLER;250;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
NAO CONVENCIONAIS;251;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
CINEMA/TEATRO;252;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
AMBULANTE;253;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
BARRACA;254;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
ESCOLA PRIMARIA;265;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
ESCOLA SECUNDARIA;266;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
FACULDADE;267;REGULAR;NAO;NAO;NAO;MERCADO FRIO;56
SANDUICHERIA;255;REGULAR;NAO;NAO;NAO;FAST FOOD;57
PRATOS RAPIDOS;256;REGULAR;NAO;NAO;NAO;FAST FOOD;57
SELF SERVICE;257;REGULAR;NAO;NAO;SIM;FAST FOOD;57
MC DONALDS;258;REGULAR;NAO;NAO;NAO;FAST FOOD;57
FAST FOOD;264;REGULAR;NAO;NAO;NAO;FAST FOOD;57
VENDING MACHINE;259;REGULAR;NAO;NAO;NAO;VENDING MACHINE;58
OPERADOR DE VENDING MACHINE;260;REGULAR;NAO;NAO;NAO;VENDING MACHINE;58
FRETEIRO;261;BALCAO;NAO;NAO;NAO;OUTROS;59
VENDA OUTRAS FRANQUIAS;262;BALCAO;NAO;NAO;NAO;OUTROS;59
FUNCIONARIO;263;BALCAO;NAO;NAO;NAO;OUTROS;59
